service_id,service_name,common_name,action_name,service_link,department_id,department_name,is_new,service_type,is_active,is_paid_service,service_desc,how_to_apply,eligibility_criteria,required_doc
73,Apply - Fertilizer License Application,Fertilizer License,Apply - Fertilizer License Application,https://agriinput.matirkatha.net/bsk/bsk_farmers,2,Agriculture Department,0,P,1,t,Issuing Letter of Authorisation (LOA) for running fertiliser business (wholesale/retail) within the State of West Benga,Application to be done through Matir Katha portal,Education: Retail Business—B.Sc. Ag./DAESI/B.Sc. in Chemistry/15 day’s certificate course from Government recommended agencies,"PAN Card of applicant/company, document certifying the possession of Sale Point and Store Point, Certificate of Educational Qualification, Fertiliser Source Certificate (Form O). Fee for LOA to be submitted through GRIPS and receipt to be submitted. Current trade licence. No Objection Certificate/Contract Deed from owner in case of hired Sale Point/Storage Point. Aadhaar Card is mandatory for retailers. Details may be seen on Matir Katha portal"
74,Fertilizer license renewal/modification,Fertilizer License,Apply - Fertilizer License,https://agriinput.matirkatha.net/bsk/bsk_farmers,2,Agriculture Department,0,P,1,t,Renewing/amending Letter of Authorisation (LOA) for running fertiliser business (wholesale/retail) within the State of West Bengal,Application to be done through Matir Katha portal (www.matir katha.net),Must have a valid fertiliser licence,"PAN Card of applicant/company, document certifying the possession of Sale Point and Store Point, Certificate of Educational Qualification, Fertiliser Source Certificate (Form O). Fee for LOA to be submitted through GRIPS and receipt to be submitted. Current trade licence. No Objection Certificate/Contract Deed from owner in case of hired Sale Point/Storage Point. Aadhaar Card is mandatory for retailers. Details may be seen on Matir Katha portal."
75,Apply - Seed License,Seed License,Apply - Seed License,https://agriinput.matirkatha.net/bsk/bsk_farmers,2,Agriculture Department,0,P,1,t,To ensure quality seeds are sold to the farming community of the state,Online application with all documents as per Seed Act. Detailed information available on website www.matirkatha.net under “Seed Licensing System Online”,"Every person desiring to obtain a licence for selling, exporting or importing seeds shall make online application with requisite fee of Rs. 1000/- to the licensing authority",""
76,Renewal - Seed License,Seed License,Renewal - Seed License,https://agriinput.matirkatha.net/bsk/bsk_farmers,2,Agriculture Department,0,P,1,t,To ensure quality seeds are sold to the farming community of the state,Online application with all documents as per Seed Act. Detailed information available on website www.matirkatha.Gov.in under Seed Licensing System Online,"Every holder of seed licence desiring to renew the licence shall, before the date of expiry of licence, make online application with requisite fee of Rs. 500/- to the licensing authority",""
77,Modify - Seed License,Seed License,Modify - Seed License,https://agriinput.matirkatha.net/bsk/bsk_farmers,2,Agriculture Department,0,P,1,t,To ensure quality seeds are sold to the farming community of the state,Online application with all documents as per Seed Act. Detailed information available on website www.matirkatha.net under Seed Licensing System Online,"Every holder of seed licence desiring to modify the licence shall, before the date of expiry of licence, make online application with requisite fee of Rs. 20/- to the licensing authority.",""
78,Renew Insecticide License,Insecticide License,Renewal - Insecticide License,https://agriinput.matirkatha.net/bsk/bsk_farmers,2,Agriculture Department,0,P,1,t,Ease of doing business,Online licensing under www.matirkatha.net,"Insecticide licence for sale, stock, exhibit for sale or distribution of insecticides —Graduate in Agricultural Sciences, Biochemistry, Biotechnology, Life Sciences or in Science with Chemistry/Zoology/Botany or one-year diploma course in Agriculture/Horticulture, having course content on plant protection. B. Insecticide licence for undertaking pest control operation—Graduate in Agriculture or in Science with Chemistry as a subject, with a certificate course of minimum 15 days training from any of the three institutions, NIPHM,Hyderabad/CFTRI, Mysore/Indian Grain Storage Institute, Hapur","i. **PAN Card, ii. **Passport size photo, iii. **Self Qualification Certificate or Other’s Qualification Certificate with consent/appointment letter, iv. **Trade Licence, v. **Property Tax Receipt of municipality/Khajna dakhila of BL&LRO, vi. **Porcha/Deed, vii. Rent/Lease Agreement Deed, viii. NOC Certificate (if applicable), ix. Partnership Deed(in case of partnership firm), x. CIN (in case of company), xi. List of Board of Directors (in case of company), xii.**Cash Memo of Protective Cloth and Respiratory Protection, xiii. **Receipt of challan for licence fees (challan must be made before online application; received challan is not refundable), etc."
79,New Insecticide License,Insecticide License,Apply - Insecticide License,https://agriinput.matirkatha.net/bsk/bsk_farmers,2,Agriculture Department,0,P,1,t,Ease of doing business,Online licensing under www.matirkatha.net,"Insecticide licence for undertaking pest control operation—Graduate in Agriculture or in Science with Chemistry as a subject, with a certificate course of minimum 15 days training from any of the three institutions, NIPHM, Hyderabad/CFTRI, Mysore/Indian Grain Storage Institute, Hapur","i. **PAN Card, ii. **Passport size photo, iii. **Self-Qualification Certificate for self-proprietorship business or Other’s Qualification Certificate with consent/appointment letter for Ltd./Pvt. Ltd. companies, iv. **Trade Licence, v. **Property Tax Receipt of municipality/Khajna dakhila of BL&LRO, vi. **Porcha/Deed, vii. Rent/Lease Agreement Deed, viii. NOC Certificate (if applicable), ix. Partnership Deed (in case of Partnership Firm),x.CIN(in case of company), xi. List of Board of Directors (in case of company), xii.**Cash Memo of Protective Cloth and Respiratory Protection, xiii. **Receipt of challan for licence fees (challan must be made before online application; received challan is not refundable), etc"
80,Modify  Insecticide License,Insecticide License,Modify - Insecticide License Application,https://agriinput.matirkatha.net/bsk/bsk_farmers,2,Agriculture Department,0,P,1,t,Ease of doing business,Online licensing under www.matirkatha.net,"A. Insecticide licence for sale, stock or exhibit for sale or distribution of insecticides —Graduate in Agricultural Sciences, Biochemistry, Biotechnology, Life Sciences or in Science with Chemistry/Zoology/Botany ora 1-yeardiploma course in Agriculture/Horticulture, having course content on plant protection. B. Insecticide licence for undertaking pest control operation —Graduate in Agriculture or in Science with Chemistry as a subject, with a certificate course of minimum 15 days training from any of the three institutions, NIPHM, Hyderabad/CFTRI, Mysore/Indian Grain Storage Institute, Hapur","i. PAN Card, ii. Passport size photo, iii. Certificate of Registration issued by CIB & RC(relevant page having registration no. and crops for which it has label claim, name of pests, dose, etc.), iv. Manufacturing Licence of the concerned pesticide. Agreement with manufacturing company (in case marketed by other than the manufacturing company), vi. No objection from manufacturing licence issuing authority (in case marketed by other than the manufacturing company) vii. Principal certificate of manufacturing company, viii. **Receipt of challan for amendment fees (challan must be made before online application; received challan is not refundable), etc. In case of transfer of ownership of licenc"
84,Search  - Kishan Mandi Information,Agriculture,Search  - Kishan Mandi Information,http://matirkatha.net/,1,Agricultural Marketing Department,0,I,1,f,"Kisan Mandi is an online platform enabling farmers to sell agricultural products directly to consumers, eliminating intermediaries. Operated by the Small Farmers Agribusiness Consortium, it is a free service for farmers. The platform also facilitates the trade of agri-machinery, tractors, and tools.",Online through www.wbagrimarketingboard.gov.in,"",""
85,Apply - Sufal Bangla Individual Enrollment Form,Sufal Bangla,Apply - Sufal Bangla Individual Enrollment Form ,https://sufalbangla.in/showUserRegistrationINDV,1,Agricultural Marketing Department,0,F,1,f,"Sufal Bangla, a competitive retail daily use of prime vegetable outlet, is crucial for ensuring food and nutrition security for millions of people living below the poverty line in our country, besides helping to raise rural incomes and generate millions of on-farms and non-farms employment opportunities, eradication of poverty.","On the web portal, free of cost","Individual/group/FPC having valid bank A/C, PAN, Address Proof, Id Proof, CIN, GST, FSSAI, Registration etc","Certificate of being a farmer/FPO/FPC, etc"
86,Search - Price Information,Sufal Bangla,Search - Price Information,https://www.sufalbangla.in/sufalbanglaPortal/showPriceList,1,Agricultural Marketing Department,1,I,1,f,"The price information can be searched based on the data available in the market recorded by the portal. After search, you may get a rate of information about the specific vegetables in that market only. The rate may vary market to market.","Online through the respective web portals, free of cost",Any interested person,Not required
87,Apply - Application for Farm Produce Transport,Agriculture,Apply - Application for Farm Produce Transport,http://www.wbagrimarketingboard.gov.in/,1,Agricultural Marketing Department,0,F,1,f,"Raw agricultural-based products from the farming activity like vegetables, fruits, and livestock for human consumption. The infrastructures like shops, Stalls, Water facilities etc. for the interest of the farm communities the farmers can achieve better remunerative price against selling of their crops.",The applicant can apply on the Android app (from Google Play Store) or over the internet on the www.wbagrimarketingboard.in website or through WhatsApp Bot at +91-86972-45555 (no cost involved).,"Citizens with valid PAN, Aadhar and Licence No can apply","PAN, Aadhar and Licence No"
88,Search - Price Information of Daily Market,Agriculture,Search - Price Information of Daily Market,http://www.wbagrimarketingboard.gov.in/,1,Agricultural Marketing Department,0,I,1,f,"The price information can be searched based on the data available in the market recorded by the portal. After search, you may get a rate of information about the specific vegetables in that market only. The rate may vary market to market.","Online through www.sufalbangla.in, www.enam.gov.in, www.wbagrimarketingboard.gov.in, www.agmarknet.gov.in","",""
89,Register - Online Marketing (Farming),Agriculture,Register - Online Marketing (Farming),http://www.enam.gov.in/web/,1,Agricultural Marketing Department,0,F,1,f,Vender can register to sale the product in the market. The buyer also needs to register for purchase the product from the market. It is recommended to register the farmers in the online portal and BSK will assist the same. ,On the web portal,"""1. Farmer
2. Trader
3. FPO""","""1. For farmers—ID proof and bank account no. with IFS Code
2. For traders— ID proof, bank account no. with IFS Code, APMC
license, PAN no.
3.  for FPOs—ID proof and bank account no. with IFS Code,
APMC licence, PAN no. and CNN no."""
90,Apply e-permit (agrimarket),Agriculture,Apply - e-Permit for National Agriculture Market,http://www.wbagrimarketingboard.gov.in/e-Permit.html,1,Agricultural Marketing Department,0,F,1,f,"e-Permit is a single integrated online platform which caters to licensing, renewals, payment of market fees, generation of permits and submissions of returns. The e-Permits generated through the platform would ensure hassle free movement of goods across the state of west Bengal.",Online through www.wbagrimarketingboard.gov.in,Market functionaries except farmers,"For traders and other market functionaries — ID proof, Bank account no. with IFS Code, trade licence, PAN no., CNN no."
91,Search - Diary Scheme Information,Animal Resources,Search - Diary Scheme Information,https://www.darahwb.org/scheme.php?typ=Cattle,3,Animal Resources Development Department,0,I,1,f,"It aims to assist existing dairy farmers as well as unemployed youths with information, knowledge and skill needed for development of viable dairy units.","Application to be made to the Block Livestock Development Officer at block level and to the Deputy Director, ARD & PO, at district level.",Any adult person interested to perform dairying as economic activity,"Proof of age, residence and caste"
92,Search - Livestock Scheme,Animal Resources,Search - Livestock Scheme,https://www.darahwb.org/scheme.php?typ=Poultry,3,Animal Resources Development Department,0,I,1,f,"It aims to increase production of milk, egg and meat","Application to be made as per procedure specified in the scheme guideline. Information related to the same may be availed from the respective office of the Block Livestock Development Officer at block level and to the Deputy Director, ARD and PO, at district level, as the case may be.",Any adult person/SHG,"Proof of age, residence, caste, copy of digital ration card, bank account details and mobile number"
94,Search - Sabuj Sathi Scheme Information,Backward Class Services,Search - Sabuj Sathi Scheme Information,https://wbsaboojsathi.gov.in/v2/,4,Backward Classes Welfare Department,0,I,1,f,The scheme aims to encourage students in higher education and to reduce drop outs by distributing bi-cycles to the students of class IX to XII in all Govt. run/ Govt. aided/ Govt. sponsored schools.,"Online enrolment through respective schools (www.wbsaboojsathi.gov.in)"".",Students of class IX to XII in all Govt. run/ Govt. aided/ Govt. sponsored schools,School enrolment proof
95,Search - Sikshashree Information,Backward Class Services,Search - Sikshashree Information,https://adibasikalyan.gov.in/sikshashree,4,Backward Classes Welfare Department,0,F,1,f,The scheme provides financial assistance to SC students (studying in Classes V to VIII).,Online application through OASIS portal. Uploading of data is done by respective schools through their unique ID.,Students studying in Classes V to VIII. Income of parents should not exceed Rs. 2.5 lakh/ annum.,"Income details of parents, bank details, caste certificate."
96,Search - Taposali Bandhu Pension Scheme,Backward Class Services,Search - Taposali Bandhu Pension Scheme,https://wb.gov.in/,4,Backward Classes Welfare Department,0,I,1,f,The scheme provides financial assistance to senior citizens belonging to SC community.,Online application through portal (www.jaibangla.wb.gov.in),60 years and above. No income bar. Beneficiaries who are not covered under any other Government scheme.,"Age proof, caste certificate, bank details"
97,Apply - Consumer Grievance,Consumer Services,Apply - Consumer Grievance,http://wbconsumers.gov.in/ProtectedPages/con_login.aspx,6,Consumer Affairs Department,0,F,1,f,"The service allows citizens to register consumer grievance according rights of consumers as available under Consumer Protection Act, 2019.","A dissatisfied consumer can file a complaint directly with the national commission or appeal against decisions of the state commission within a month from the date of the order. The court fee is Rs 5,000 and the demand draft should be in the name of The Registrar, National Consumer Disputes Redressal Commission.","A consumer under Consumer Protection Act, 2019.","Bills/vouchers/consideration paid, documents relating to UTP/RTP/defective goods/deficiencies in service, etc."
98,Search - Consumer Rights Information,Consumer Services,Search - Consumer Rights Information,http://wbconsumers.gov.in/HtmlPages/con_Actrules.aspx,6,Consumer Affairs Department,0,I,1,f,"It aims to establishing the rights of consumers as available under Consumer Protection Act, 2019",2 procedures are available —a. To apply for pre-litigation settlement through mediation. This application can be made online also through web portal www.wbconsumers.gov.in. Offline application can also be made. b. To file complaint directly to Consumer Commission.,NA,"Bills/vouchers/consideration paid, documents relating to UTP/RTP/defective goods/deficiencies in service, etc."
99,Register - For e-Parimap ,Consumer Services,Register - For e-Parimap ,https://www.dolmwb.gov.in/userlogin,6,Consumer Affairs Department,0,P,1,t,"Providing requisite licence to the manufacturer, dealer and repairer of different weights and measures as required under Rule 11 of the West Bengal Legal Metrology (Enforcement) Rules, 2011","Only online application is acceptable. For procedure, website of the Directorate www.dolmwb.gov.in is referred. First, create a user account in I am a new user. All documents, as mentioned in check list, like Current Trade Licence/Rent or Ownership document/GST/IT/PAN/EPIC/Certificate of enlistment/PTax receipt/Experience Certificate/Partnership deed/EM-1/ Form-32/Space Suitability Certificate/Monogram/Trade Mark/List of tools or equipment/Test weights/Model Approval Certificate/Agreement with suppliers/Land Conversion Certificate/Commercial Electricity/NOC of PCB, if any, are to be submitted in PDF format (max size 2MB). After permission from appropriate authority, fees to be paid online. Licence will be generated and sent online to the email ID of the applicant.","Standard Operating Procedure (SoP) for licences, as available on the website of the Directorate www.dolmwb.gov.in maybe referred",Check list on the website of the Directorate www.dolmwb.gov.in maybe referred.
100,Apply - License for e-Parimap,Consumer Services,Apply - License for e-Parimap,https://www.dolmwb.gov.in/userlogin,6,Consumer Affairs Department,0,P,1,t,"Issuance/alteration of registration of packer/importer of entities involved in pre-packs or imports of any commodity for sale, distribution or delivery under Rule 27 of the Legal Metrology (Packaged Commodities) Rules, 2011","Only online application is acceptable. For procedure, website of the Directorate www.dolmwb.gov.in is referred. First, create a user account in I am a new user. All documents, as mentioned in check list, like Trade Licence/Rent or Ownership document/GST/Partnership deed/EM-1/Form-32/Monogram/ Trade Mark/Land Conversion Certificate/NOC of PCB, if relevant/Certificate under Seed Act, if any/Food Licence for food item, if relevant/Liquor Licence, if relevant/Explosive Licence, if relevant/Certificate from SWID, if relevant/GRIPS challan, are to be submitted in PDF format (max size 2MB). Requisite fee of Rs. 500/- (Rs. 100/- in case of alteration of licence) is to be paid online along with application. After approval from the appropriate authority, Registration Certificate will be generated and sent online to the email ID of the applicant.","1. For issuance of Registration Certificate of any individual, firm, HUF, Society, Company or Corporation involved in pre-packs or imports of any commodity for sale, distribution or delivery .2. For alteration: Any person having Registration Certificate issued under Rule 27 of the Legal Metrology (Packaged Commodities) Rules, 2011",No physical application/document required
101,Search - Right to Public Services Information,Consumer Services,Search - Right to Public Services Information,https://wbconsumers.gov.in/WBRTPS/HtmlPage/Hand_book,6,Consumer Affairs Department,0,I,1,f,It aims to provide time-bound services as per the notification,NA,NA,NA
102,Search - Cooperative information,Co-operative Society,Search - Cooperative information,https://www.wbstcb.com/,7,Co-operation Department,0,I,1,f,"It provides information on different schemes of Co-operative Societies/Banks, etc","Information can be availed from the Inspector of Co-operative Societies at Block level, Office of the Co-operation Directorate at Zone, Range and Headquarter level and from Co-operative Banks at district and state level",Anyone who desire to avail information on Co-operative Banks and Co-operative Societies schemes,ID proof
105,Register - Cooperative Society,Co-operative Society,Register - Cooperative Society,http://edistrict.wb.gov.in/,7,Co-operation Department,0,I,1,f,It aims to facilitate submission of application for registration of a proposed Co-operative Society online through e-District portal.,"Online application needs to be submitted along with uploading of relevant documents. Hard copies of application form, proposed bylaws, identity proof of the members and other relevant documents to be submitted offline.","At least 10 individuals for any type of primary Co-operative Society (for Housing Co-operative Society minimum eight individuals), eligible in terms of West Bengal Co-operative Societies Act & Rules, can apply for registration.","(a) Four copies of the proposed bylaws of the Co-operative Society as adopted by the promoting members;(b) A list of names of the members with their addresses, occupations and equity participations and signatures; (c) A list of members of the first board elected by the promoting members; (d) A true copy of the minutes of the meeting in which the bylaws were adopted and election was held, duly signed by the chairman; (e) A scheme of the project, if any, to be undertaken by the proposed Co-operative Society only in case of Housing Co-operative Society; (f ) Any other relevant document."
106,Apply - Change of name in Cooperative Society,Co-operative Society,Apply - Change of name in Cooperative Society,http://edistrict.wb.gov.in/,7,Co-operation Department,0,F,1,f,It aims to facilitate submission of application for change of name of a registered Co-operative Society online through e-District portal.,Online application needs to be submitted along with uploading of relevant documents,Any registered Co-operative Society can apply,Relevant Resolution of the Management of the Co-operative Society
107,Search - Cooperative Society Finance Rules,Co-operative Society,Search - Cooperative Society Finance Rules,"https://wbstcb.com/app/webroot/files/rules_pdf/WBCS%20Rules,%202011.pdf",7,Co-operation Department,0,F,1,f,"It provides information on different schemes of Co-operative Societies/Banks, etc.","Information can be availed from the Inspector of Co-operative Societies at Block level, Office of the Co-operation Directorate at Zone, Range and Headquarter level and from Co-operative Banks at district and state level.",Any Co-operative Society or class of Co-operative Societies or any other Institution registered under the West Bengal Co-operative Societies Act.,"Certificate of Registration, ID of signatories, Bank Acc details, any other relevant documents."
108,"Apply - Special Compassionate Appointment (Covid-19) Scheme, 2020",Finance Service,"Apply - Special Compassionate Appointment (Covid-19) Scheme, 2020",http://www.wbfin.nic.in/New_Fin/Pages/Publication.aspx,8,Finance Department,0,I,1,f,"A large number of Covid Warriors comprising permanent employees and contractual/casual/hired workers/volunteers of the State Government, Urban & Rural Local Bodies, Public Undertakings and other Statutory Bodies under the State Government are working day and night risking their lives to provide urgent medical treatment and other support services to the affected population and enforce restrictions to ensure the containment of the pandemic. Now, in order to save the dependant wife/husband/son/daughter/near relation of the deceased/permanently incapacitated of these Covid Warriors from financial distress, the State Government has decided to provide employment under the State Government.","A large number of Covid Warriors comprising permanent employees and contractual/casual/hired workers/volunteers of the State Government, Urban & Rural Local Bodies, Public Undertakings and other Statutory Bodies under the State Government are working day and night risking their lives to provide urgent medical treatment and other support services to the affected population and enforce restrictions to ensure the containment of the pandemic. Now, in order to save the dependant wife/husband/son/daughter/near relation of the deceased/permanently incapacitated of these Covid Warriors from financial distress, the State Government has decided to provide employment under the State Government.","Applicable to a dependant family member of A) Employee of State Government, Rural and Urban Local Bodies, Public Undertakings, Statutory Bodies or any Grant-in-Aid Institution B) All frontline workers, like: 1. ASHA workers 2. Multipurpose health workers 3. Contractual workers engaged under NHM 4. All contractual and part-time medical, para-medical and nursing personnel 5. Contractual workers employed in health facilities including Drug Management, Cleaning, Scavenging, Laundry, Diet and providing other services 6. Anganwadi workers and helpers 7. Civic volunteers 8. Civic police volunteers 9. Other such contractual/casual/daily-rated/ hired workers/volunteers in Government establishments.",1. Age proof 2. Educational qualification proof 3. Death certificate of the deceased.
109,Apply - PSC Job Application,Finance Service,Apply - PSC Job Application,https://wbpsc.gov.in/,8,Finance Department,0,P,1,t,"The Public Service Commission conducts examinations for appointment to Civil Services and posts under the State Government and advising the State Government on all matters relating to methods of recruitment to Civil Services and posts, on the principles to be followed in making appointments to Civil Services and posts and in making promotions and transfers from one service to another, on the suitability of candidates for such appointments, promotions or transfers and on all disciplinary matters affecting a person serving under the State Government in a civil capacity and on certain other matters","1. The applicant has to create a Candidate Login on the Public Service Commission portal www.pscwbapplication.in 2. The applicant will be able to see the job advertisements and has to click on the job he/she wants to apply for 3. On clicking the advertisement, the link gets forwarded to the application form. Duly fill all the mandatory fields and click on submit",Eligibility criteria differ from position to position. Criteria will be mentioned against each Public Service Commission advertisement.,"1. A mobile number to receive Enrolment No., SMS-based notifications/communications till the recruitment process is over 2. Access to facilities of computer with internet connectivity 3. A recent scanned passport size colour photograph (for scanning and uploading in jpeg format only. File size of scanned photograph should not be more than 100 kB) 4. Your scanned signature using blue/black pen on a white sheet (for scanning and uploading in jpeg format only. File size of scanned photograph should not be more than 100 kB) 5. If the applicant wants to submit the application fee online, access to an online payment facility/service such as i. Net Banking ii. Credit Card iii. ATM-cum-Debit Card"
110,Deed e-Registration,Finance Service,Register - Deed e-registration,https://wbregistration.gov.in/(S(vddbb1gqna2ztmzdbngqaowl))/index.aspx,8,Finance Department,0,P,1,t,"For property transactions happening in West Bengal, the property buyer has to pay stamp duty and registration charges applicable on the sale of the property.",NA,NA,NA
118,Apply - Excise Crime Reporting - Citizen,Finance Service,Apply - Excise Crime Reporting - Citizen,https://excise.wb.gov.in/Portal_New_Default.aspx,8,Finance Department,0,F,1,f,The service provides an online platform to register grievances related to excise related crimes.,Online applications to be made through portal.,Any Indian national can apply,Evidence regarding the crime.
168,Apply - Mutation Application,Property,Apply - Mutation Application,https://banglarbhumi.gov.in/BanglarBhumi/Home.action,20,Land & Land Reforms and Refugee Relief & Rehabilitation,0,P,1,t,Updating of record of rights owing to change of ownership of land in the state of West Bengal. ,Citizen has to apply with a valid document through the official portal (https://banglarbhumi.gov.in ) or visit the nearest BSK for the Mutation application. ,Provide all valid documents for the application.,"The required documents depend on the land or house property. For the latest document requirements, visit the official website of the land department or visit your nearest BSK."
